"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"AUB","44.1490157","-70.25276454","2021-09-09","02","66","64","","7","S","92","90","93","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","03","65","64","","7","S","92","97","97","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","04","65","64","","7","S","100","87","97","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","05","64","64","","7","S","100","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","06","64","64","","6","S","100","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","07","64","64","","6","S","97","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","08","64","64","","6","S","95","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","09","66","66","","6","S","95","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","10","68","68","","7","S","95","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","11","69","69","","7","S","95","77","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","12","70","69","","7","S","95","82","97","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","13","70","70","","6","S","96","86","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","14","70","70","","6","S","95","91","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","15","70","70","","6","S","95","93","100","Ocnl","SChc"
"AUB","44.1490157","-70.25276454","2021-09-09","16","70","70","","5","S","96","95","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","17","70","70","","5","S","96","97","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","18","69","69","","3","S","95","96","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","19","67","67","","3","SE","95","95","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","20","66","66","","2","SE","94","95","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","21","65","65","","2","E","93","94","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","22","65","65","","1","NE","92","94","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-09","23","63","63","","1","N","95","94","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-10","00","63","63","","1","N","94","89","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-10","01","63","63","","2","N","93","84","98","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-10","02","62","62","","2","NW","92","80","100","Ocnl","--"
"AUB","44.1490157","-70.25276454","2021-09-10","03","61","61","","2","N","91","66","100","Lkly","--"
"AUB","44.1490157","-70.25276454","2021-09-10","04","60","60","","2","N","89","53","100","Chc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","05","60","60","","2","N","87","39","100","Chc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","06","60","60","","3","N","78","33","100","Chc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","07","60","60","","3","NW","68","27","100","Chc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","08","61","61","","5","NW","59","21","100","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","09","64","61","","6","NW","47","20","91","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","10","67","62","","7","NW","45","19","83","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","11","70","62","","8","NW","45","18","76","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","12","72","61","","9","NW","45","17","69","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","13","73","61","","9","NW","45","17","65","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","14","73","60","","10","NW","45","16","64","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","15","72","59","","10","NW","45","16","64","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","16","71","58","","10","NW","45","17","63","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","17","69","57","","10","NW","45","17","66","SChc","--"
"AUB","44.1490157","-70.25276454","2021-09-10","18","66","56","","9","NW","25","14","69","--","--"
"AUB","44.1490157","-70.25276454","2021-09-10","19","64","54","","9","NW","22","11","71","--","--"
"AUB","44.1490157","-70.25276454","2021-09-10","20","61","53","","8","NW","21","8","75","--","--"
"AUB","44.1490157","-70.25276454","2021-09-10","21","59","52","","7","NW","17","7","78","--","--"
"AUB","44.1490157","-70.25276454","2021-09-10","22","58","52","","7","NW","14","7","79","--","--"
"AUB","44.1490157","-70.25276454","2021-09-10","23","56","51","","6","NW","11","6","83","--","--"
"AUB","44.1490157","-70.25276454","2021-09-11","00","55","50","","6","NW","10","5","83","--","--"
"AUB","44.1490157","-70.25276454","2021-09-11","01","54","49","","6","NW","9","4","83","--","--"
