"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"aub","lat=44.1461&lon=-70.227","2021-06-13","03","51","48","","2","W","46","0","89","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","04","50","47","","2","W","47","0","89","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","05","50","47","","2","W","48","0","89","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","06","52","48","","2","W","49","0","86","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","07","56","49","","2","W","49","0","77","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","08","59","50","","3","W","49","0","72","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","09","64","50","","3","W","45","1","60","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","10","70","49","","5","W","41","1","47","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","11","75","49","75","5","W","37","1","40","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","12","77","49","77","6","W","39","2","37","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","13","78","48","78","6","W","42","2","35","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","14","78","48","78","6","SW","44","2","35","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","15","78","48","78","6","SW","42","2","35","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","16","78","49","78","6","SW","41","2","36","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","17","80","49","79","6","S","39","1","34","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","18","76","51","76","6","S","33","2","42","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","19","74","53","","6","S","28","9","48","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","20","71","54","","6","S","22","9","55","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","21","68","54","","6","S","27","9","61","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","22","66","55","","5","S","32","9","68","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-13","23","64","55","","5","SE","37","9","73","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","00","62","55","","5","SE","42","10","78","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","01","61","55","","3","SE","47","11","81","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","02","60","55","","3","SE","52","12","84","--","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","03","59","55","","3","SE","56","23","87","SChc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","04","58","55","","5","SE","59","35","90","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","05","57","55","","5","SE","63","46","93","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","06","56","55","","5","SE","67","49","96","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","07","58","56","","5","S","71","51","93","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","08","60","56","","5","S","75","50","87","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","09","62","57","","7","S","72","52","84","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","10","64","57","","9","S","69","53","78","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","11","66","58","","11","S","66","54","75","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","12","66","58","","11","S","71","57","75","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","13","66","58","","11","S","75","59","75","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","14","66","58","","11","S","80","61","75","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","15","66","58","","11","S","79","63","75","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","16","65","58","","11","S","78","64","78","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","17","65","58","","11","S","77","66","78","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","18","64","58","","10","S","78","69","81","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","19","63","57","","9","S","80","68","81","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-14","20","62","57","","8","S","81","66","84","Lkly","SChc"
"aub","lat=44.1461&lon=-70.227","2021-06-14","21","61","57","","7","S","82","64","87","Lkly","SChc"
"aub","lat=44.1461&lon=-70.227","2021-06-14","22","61","58","","6","S","82","61","90","Lkly","SChc"
"aub","lat=44.1461&lon=-70.227","2021-06-14","23","60","58","","5","S","83","58","93","Lkly","SChc"
"aub","lat=44.1461&lon=-70.227","2021-06-15","00","60","58","","5","S","82","56","93","Lkly","--"
"aub","lat=44.1461&lon=-70.227","2021-06-15","01","59","59","","3","S","81","54","100","Chc","--"
"aub","lat=44.1461&lon=-70.227","2021-06-15","02","59","59","","3","S","80","43","100","Chc","--"
