"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"AUB","44.1490157","-70.25276454","2021-06-18","16","79","50","79","10","S","32","1","36","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","17","78","51","78","10","S","41","1","39","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","18","75","52","75","10","S","54","1","45","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","19","72","52","","9","S","68","1","49","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","20","69","52","","7","S","82","3","55","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","21","66","53","","7","S","79","6","63","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","22","65","53","","7","S","77","12","65","--","--"
"AUB","44.1490157","-70.25276454","2021-06-18","23","63","53","","7","S","75","12","70","--","--"
"AUB","44.1490157","-70.25276454","2021-06-19","00","64","54","","6","S","73","12","70","--","--"
"AUB","44.1490157","-70.25276454","2021-06-19","01","64","55","","6","SW","72","13","73","--","--"
"AUB","44.1490157","-70.25276454","2021-06-19","02","64","55","","6","SW","71","16","73","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","03","64","56","","6","SW","71","18","75","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","04","64","55","","7","SW","71","18","73","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","05","63","55","","7","SW","71","28","75","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","06","62","56","","7","SW","67","30","81","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","07","65","57","","8","SW","63","20","75","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","08","67","59","","8","SW","59","34","75","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","09","70","61","","8","SW","59","50","73","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","10","71","62","","8","SW","60","41","73","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","11","74","63","","8","SW","61","27","69","Chc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","12","77","62","77","8","SW","58","25","60","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","13","79","63","79","8","SW","55","24","58","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-19","14","81","62","82","8","SW","53","18","53","SChc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","15","82","62","83","8","SW","56","22","51","SChc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","16","82","61","83","7","SW","59","25","49","SChc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","17","81","61","82","7","SW","62","48","51","Chc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","18","78","60","78","7","SW","65","46","54","Chc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","19","76","60","76","6","SW","67","28","58","Chc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","20","73","60","","6","SW","70","26","64","Chc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","21","71","59","","6","SW","70","24","66","SChc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","22","68","58","","5","SW","70","22","70","SChc","SChc"
"AUB","44.1490157","-70.25276454","2021-06-19","23","66","58","","5","W","70","21","75","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-20","00","65","58","","3","W","58","19","78","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-20","01","64","57","","3","W","46","18","78","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-20","02","63","57","","2","W","34","17","81","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-20","03","62","57","","2","W","27","15","84","SChc","--"
"AUB","44.1490157","-70.25276454","2021-06-20","04","61","56","","3","W","19","12","84","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","05","60","56","","3","W","12","10","87","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","06","63","57","","3","W","11","8","81","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","07","66","58","","5","W","11","5","75","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","08","69","59","","5","W","10","8","70","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","09","72","59","","6","W","8","7","64","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","10","76","59","76","7","W","6","5","56","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","11","79","59","79","8","W","4","5","50","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","12","80","59","81","8","W","9","5","49","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","13","82","58","82","8","W","15","5","44","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","14","83","58","83","8","W","20","3","43","--","--"
"AUB","44.1490157","-70.25276454","2021-06-20","15","83","58","83","7","W","21","3","43","--","--"
