"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"BAR","41.50214979","-71.56477181","2021-08-07","02","66","65","","5","SW","34","0","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","03","66","65","","5","SW","40","0","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","04","65","65","","3","SW","47","0","100","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","05","65","64","","3","SW","53","0","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","06","65","64","","5","SW","56","0","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","07","67","65","","5","SW","58","0","93","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","08","71","66","","5","SW","61","0","84","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","09","72","66","","6","SW","57","0","81","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","10","75","66","75","6","SW","54","0","74","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","11","78","66","78","7","SW","54","0","67","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","12","80","66","82","8","SW","43","0","62","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","13","81","66","83","9","SW","45","2","60","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","14","83","66","85","10","SW","49","4","57","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","15","83","66","85","10","SW","53","6","57","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","16","82","66","84","10","SW","60","8","58","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","17","82","66","84","10","SW","59","8","58","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","18","80","65","82","10","SW","57","7","60","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","19","78","65","78","9","SW","56","6","64","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","20","76","64","75","8","SW","58","5","69","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","21","74","64","","8","SW","62","6","73","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","22","73","63","","7","SW","68","8","73","--","--"
"BAR","41.50214979","-71.56477181","2021-08-07","23","71","63","","7","SW","73","9","76","--","--"
"BAR","41.50214979","-71.56477181","2021-08-08","00","71","63","","7","SW","76","11","78","--","--"
"BAR","41.50214979","-71.56477181","2021-08-08","01","70","63","","7","SW","77","12","81","--","--"
"BAR","41.50214979","-71.56477181","2021-08-08","02","69","63","","5","SW","61","14","84","--","--"
"BAR","41.50214979","-71.56477181","2021-08-08","03","69","63","","5","SW","70","15","84","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","04","68","63","","3","SW","80","16","87","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","05","67","63","","3","SW","89","17","90","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","06","67","63","","3","SW","90","17","90","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","07","68","64","","3","SW","90","18","90","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","08","69","65","","3","SW","90","16","87","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","09","72","66","","3","SW","82","16","81","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","10","74","67","","5","W","74","16","79","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","11","76","68","76","5","W","67","16","76","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","12","77","68","77","5","W","63","16","74","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","13","78","68","78","6","SW","58","16","71","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","14","79","68","79","6","SW","53","16","69","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","15","79","68","79","6","SW","50","16","69","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","16","79","68","79","6","SW","46","16","69","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","17","78","68","78","6","S","42","17","71","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","18","76","67","76","5","S","46","17","74","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","19","74","67","","3","S","50","18","79","SChc","SChc"
"BAR","41.50214979","-71.56477181","2021-08-08","20","72","67","","2","S","54","18","84","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","21","70","67","","2","S","46","16","90","SChc","--"
"BAR","41.50214979","-71.56477181","2021-08-08","22","68","66","","1","SW","39","14","93","--","--"
"BAR","41.50214979","-71.56477181","2021-08-08","23","67","66","","1","SW","32","12","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-09","00","66","65","","1","W","35","9","97","--","--"
"BAR","41.50214979","-71.56477181","2021-08-09","01","66","65","","1","NW","38","7","97","--","--"
