"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"ri","lat=41.484&lon=-71.5522","2021-06-13","03","55","54","","3","W","32","0","96","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","04","55","54","","5","W","30","0","96","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","05","55","54","","3","W","28","0","96","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","06","56","54","","3","W","26","0","93","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","07","59","55","","5","W","23","0","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","08","64","57","","6","W","18","0","78","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","09","67","58","","6","W","24","0","73","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","10","71","58","","7","SW","17","0","63","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","11","74","58","","7","SW","16","0","57","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","12","75","56","75","9","SW","14","0","52","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","13","76","57","76","9","SW","12","0","52","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","14","75","57","75","10","S","11","0","54","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","15","74","58","","10","SW","10","0","57","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","16","72","58","","10","S","11","1","61","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","17","71","58","","10","SW","10","1","63","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","18","69","58","","10","SW","13","1","68","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","19","67","57","","9","SW","15","1","70","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","20","64","57","","8","SW","18","1","78","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","21","61","56","","7","SW","23","1","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","22","61","56","","7","SW","31","2","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-13","23","60","56","","6","SW","33","2","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","00","59","56","","5","S","39","7","90","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","01","58","55","","5","S","39","13","90","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","02","58","55","","3","S","39","19","90","SChc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","03","58","55","","3","S","46","25","90","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","04","58","55","","5","S","52","32","90","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","05","58","56","","3","S","59","38","93","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","06","58","56","","3","S","61","44","93","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","07","60","58","","6","S","64","51","93","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","08","63","59","","7","S","67","57","87","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","09","64","59","","8","S","74","53","84","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","10","66","59","","8","S","80","49","78","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","11","67","60","","10","S","87","45","78","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","12","66","61","","10","S","86","47","84","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","13","67","61","","10","S","86","48","81","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","14","68","61","","10","S","85","50","78","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","15","68","61","","9","S","86","53","78","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","16","68","61","","9","S","86","55","78","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","17","67","62","","8","S","87","58","84","Chc","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-14","18","66","62","","8","S","88","58","87","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-14","19","66","62","","7","SE","89","58","87","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-14","20","65","62","","7","SE","90","58","90","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-14","21","65","62","","6","S","85","60","90","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","22","64","62","","6","S","80","61","93","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-14","23","63","62","","5","S","75","63","97","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","00","63","62","","5","S","76","57","97","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","01","62","61","","3","S","76","51","97","Chc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","02","62","61","","3","S","77","45","97","Chc","--"
