"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"CHN","44.43742138","-69.55817249","2021-07-27","02","66","65","","2","SW","45","2","97","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","03","65","64","","2","SW","44","4","97","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","04","65","64","","2","SW","31","3","97","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","05","64","63","","1","W","33","1","97","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","06","66","63","","3","W","28","1","90","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","07","68","63","","5","W","23","2","84","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","08","70","63","","6","NW","17","2","78","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","09","72","63","","7","NW","17","2","73","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","10","75","62","75","7","NW","16","2","64","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","11","77","61","77","7","NW","15","3","58","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","12","78","60","78","7","NW","20","4","54","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","13","80","60","81","8","NW","24","5","51","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","14","80","59","81","8","NW","28","7","49","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","15","80","59","81","8","NW","38","6","49","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","16","79","59","79","8","NW","47","10","50","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","17","78","59","78","8","NW","57","13","52","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","18","75","59","75","6","NW","64","14","58","--","--"
"CHN","44.43742138","-69.55817249","2021-07-27","19","73","60","","5","NW","71","20","64","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-27","20","71","60","","3","NW","78","26","68","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-27","21","69","59","","3","NW","83","27","70","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-27","22","66","58","","3","NW","87","24","75","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-27","23","64","58","","3","NW","92","28","81","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","00","63","57","","3","N","91","27","81","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","01","62","57","","5","N","89","28","84","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","02","61","56","","5","NE","88","25","84","Chc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","03","59","56","","5","NE","77","22","90","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","04","58","56","","5","NE","66","16","93","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","05","57","55","","5","NE","55","13","93","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","06","58","55","","5","NE","55","15","90","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","07","59","55","","6","NE","55","15","87","SChc","--"
"CHN","44.43742138","-69.55817249","2021-07-28","08","60","54","","6","NE","54","9","81","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","09","62","54","","6","N","40","9","75","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","10","65","53","","6","N","27","8","65","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","11","68","53","","6","N","13","8","59","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","12","69","52","","5","N","13","8","55","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","13","70","52","","5","N","14","8","53","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","14","72","51","","5","N","14","9","48","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","15","73","52","","5","N","14","8","48","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","16","73","53","","3","NW","15","6","49","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","17","72","54","","3","NW","15","5","53","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","18","70","54","","3","W","16","4","57","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","19","68","55","","2","SW","18","3","63","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","20","65","56","","2","S","19","2","73","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","21","63","56","","2","S","22","2","78","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","22","61","55","","1","SW","24","1","81","--","--"
"CHN","44.43742138","-69.55817249","2021-07-28","23","59","55","","1","SW","27","0","87","--","--"
"CHN","44.43742138","-69.55817249","2021-07-29","00","58","54","","1","SW","29","0","86","--","--"
"CHN","44.43742138","-69.55817249","2021-07-29","01","57","54","","1","W","31","0","90","--","--"
