"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","03","58","52","","5","S","36","1","80","--","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","04","58","52","","5","S","39","1","80","--","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","05","57","52","","6","S","46","2","83","--","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","06","59","53","","6","S","57","8","80","--","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","07","60","54","","7","S","56","14","81","--","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","08","61","55","","7","S","66","20","81","SChc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","09","63","55","","8","S","74","25","75","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","10","65","55","","8","S","66","30","70","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","11","67","55","","9","S","72","36","65","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","12","67","54","","9","S","77","38","63","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","13","68","54","","10","S","59","40","61","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","14","68","54","","10","S","67","43","61","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","15","67","54","","10","S","67","46","63","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","16","66","54","","10","S","85","50","65","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","17","66","54","","10","S","80","54","65","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","18","64","55","","9","S","88","60","73","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","19","63","55","","9","S","84","69","75","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","20","62","56","","8","S","79","78","81","Ocnl","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","21","61","56","","8","S","85","81","84","Ocnl","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","22","60","57","","7","S","90","84","90","Ocnl","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-14","23","58","58","","7","SE","91","81","100","Ocnl","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","00","58","58","","6","SE","89","77","100","Ocnl","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","01","58","58","","6","SE","87","74","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","02","58","58","","5","SE","85","70","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","03","58","58","","5","SE","86","67","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","04","57","57","","3","SE","86","63","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","05","57","57","","3","S","87","60","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","06","57","57","","2","S","86","56","100","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","07","58","58","","3","S","85","53","100","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","08","60","59","","5","S","82","55","96","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","09","62","60","","5","S","83","56","93","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","10","63","61","","6","S","81","55","93","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","11","65","62","","6","S","81","53","90","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","12","67","62","","6","S","77","55","84","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","13","68","62","","6","S","73","57","81","Lkly","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","14","70","62","","6","S","72","60","76","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","15","70","62","","6","S","69","61","76","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","16","70","62","","6","S","65","63","76","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","17","70","62","","6","S","74","66","76","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","18","69","61","","6","SW","69","66","76","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","19","67","61","","5","SW","66","61","81","Lkly","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","20","66","60","","5","W","64","49","81","Chc","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","21","64","60","","3","W","57","44","87","Chc","Chc"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","22","63","59","","3","W","58","38","87","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-15","23","61","59","","2","NW","58","36","93","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-16","00","60","59","","2","NW","58","34","96","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-16","01","60","58","","2","NW","57","31","93","Chc","--"
"chn","lat=44.4473&lon=-69.6053","2021-06-16","02","59","58","","2","NW","57","29","96","Chc","--"
