"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"CHN","44.43742138","-69.55817249","2021-06-18","16","78","50","78","10","S","20","1","37","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","17","77","50","77","10","S","25","1","39","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","18","74","51","","9","S","39","1","44","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","19","71","51","","8","S","53","1","49","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","20","67","51","","6","S","68","1","56","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","21","65","52","","6","S","68","2","63","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","22","64","53","","6","S","69","4","67","--","--"
"CHN","44.43742138","-69.55817249","2021-06-18","23","63","53","","6","S","70","9","70","--","--"
"CHN","44.43742138","-69.55817249","2021-06-19","00","62","54","","5","S","70","9","75","--","--"
"CHN","44.43742138","-69.55817249","2021-06-19","01","63","55","","5","S","71","10","75","--","--"
"CHN","44.43742138","-69.55817249","2021-06-19","02","62","55","","5","S","71","13","78","--","--"
"CHN","44.43742138","-69.55817249","2021-06-19","03","63","55","","5","S","73","17","75","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","04","63","56","","6","S","74","19","78","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","05","62","56","","6","S","76","18","81","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","06","62","56","","6","S","73","24","81","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","07","63","58","","7","S","70","22","84","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","08","65","59","","7","S","68","32","81","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","09","67","61","","7","S","67","37","81","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","10","70","62","","8","S","66","51","76","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","11","71","62","","8","S","65","40","73","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","12","74","62","","8","S","65","39","66","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","13","76","63","76","9","S","65","37","64","Chc","--"
"CHN","44.43742138","-69.55817249","2021-06-19","14","78","63","78","9","S","64","18","60","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","15","79","63","79","8","S","66","22","58","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","16","79","63","79","7","S","67","25","58","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","17","79","63","79","7","S","68","48","58","Chc","Chc"
"CHN","44.43742138","-69.55817249","2021-06-19","18","77","63","77","6","S","66","48","62","Chc","Chc"
"CHN","44.43742138","-69.55817249","2021-06-19","19","75","63","75","5","S","64","24","66","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","20","72","63","","3","S","62","23","73","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","21","70","62","","3","SW","62","23","76","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","22","67","61","","3","SW","62","22","81","SChc","SChc"
"CHN","44.43742138","-69.55817249","2021-06-19","23","66","61","","3","SW","62","21","84","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-20","00","65","60","","2","SW","50","19","84","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-20","01","64","59","","2","W","39","17","84","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-20","02","63","58","","2","W","28","16","84","SChc","--"
"CHN","44.43742138","-69.55817249","2021-06-20","03","62","58","","2","W","23","14","87","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","04","61","57","","2","W","19","11","87","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","05","60","57","","3","W","14","9","90","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","06","63","58","","3","W","12","7","84","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","07","65","60","","3","W","10","5","84","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","08","68","61","","3","W","8","11","78","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","09","71","60","","5","W","7","10","68","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","10","74","60","","6","W","7","8","62","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","11","77","59","77","7","W","6","8","54","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","12","79","59","79","7","W","8","8","50","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","13","80","58","81","7","W","10","8","47","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","14","82","58","82","7","W","12","4","44","--","--"
"CHN","44.43742138","-69.55817249","2021-06-20","15","82","58","82","7","W","14","4","44","--","--"
