"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"GRT","44.53463467","-69.84512307","2021-07-06","02","59","57","","2","S","42","2","93","--","--"
"GRT","44.53463467","-69.84512307","2021-07-06","03","59","57","","2","S","48","6","93","--","--"
"GRT","44.53463467","-69.84512307","2021-07-06","04","59","57","","2","S","61","10","93","--","--"
"GRT","44.53463467","-69.84512307","2021-07-06","05","60","58","","2","S","73","14","93","--","--"
"GRT","44.53463467","-69.84512307","2021-07-06","06","61","59","","3","S","76","15","93","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-06","07","63","61","","3","S","79","17","93","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-06","08","65","62","","3","S","82","18","90","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-06","09","68","63","","5","S","77","19","84","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-06","10","71","64","","5","S","73","19","79","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-06","11","74","65","","5","S","69","28","74","Chc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","12","76","67","76","6","SW","70","29","74","Chc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","13","78","68","78","6","SW","71","30","71","Chc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","14","79","69","79","7","SW","72","38","72","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-07-06","15","80","69","83","7","SW","68","38","69","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-07-06","16","81","70","85","7","W","64","38","69","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-07-06","17","82","70","86","8","W","60","36","67","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-07-06","18","80","69","83","7","W","56","31","69","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-07-06","19","79","69","79","6","W","51","23","72","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","20","75","70","75","6","W","47","16","84","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","21","74","69","","5","W","38","17","84","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-06","22","73","68","","5","W","30","9","84","--","--"
"GRT","44.53463467","-69.84512307","2021-07-06","23","72","68","","5","W","23","9","87","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","00","71","67","","5","W","22","8","87","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","01","70","67","","5","W","20","7","90","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","02","70","66","","5","W","18","5","87","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","03","69","65","","5","W","22","5","87","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","04","68","64","","5","W","26","5","87","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","05","67","64","","5","W","29","4","90","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","06","66","64","","5","W","29","3","93","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","07","68","63","","6","NW","30","3","84","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","08","69","61","","6","NW","30","3","76","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","09","71","60","","6","NW","30","2","68","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","10","72","59","","6","W","37","2","64","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","11","74","58","","6","W","45","1","57","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","12","75","58","75","6","W","53","0","55","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","13","75","57","75","6","SW","60","1","54","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","14","76","57","76","6","SW","66","2","52","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","15","76","57","76","6","SW","70","2","52","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","16","76","58","76","5","W","74","5","54","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","17","77","58","77","5","W","75","8","52","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","18","74","59","","5","W","75","10","59","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","19","72","59","","3","NW","73","11","64","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","20","69","58","","3","NW","72","12","68","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","21","67","58","","3","NW","71","14","73","--","--"
"GRT","44.53463467","-69.84512307","2021-07-07","22","65","57","","5","NW","70","15","75","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-07-07","23","63","56","","5","NW","69","16","78","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-08","00","62","55","","5","N","69","17","78","SChc","--"
"GRT","44.53463467","-69.84512307","2021-07-08","01","61","55","","6","N","69","18","81","SChc","--"
