"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"grt","lat=44.5861&lon=-69.864","2021-06-13","03","52","46","","2","W","43","0","80","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","04","52","45","","2","W","42","0","77","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","05","52","44","","2","W","42","0","74","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","06","54","46","","2","W","41","0","74","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","07","57","47","","2","W","38","0","69","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","08","60","49","","2","W","35","0","67","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","09","64","49","","2","W","33","0","58","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","10","69","50","","2","W","31","1","51","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","11","73","50","","2","W","29","1","44","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","12","77","49","77","2","W","33","1","37","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","13","78","49","78","3","W","37","1","36","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","14","78","49","78","3","W","41","1","36","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","15","79","48","79","3","W","43","1","34","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","16","79","48","79","3","SW","46","1","34","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","17","80","48","79","3","S","48","1","33","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","18","76","50","76","3","S","43","1","40","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","19","74","51","","5","S","37","9","44","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","20","71","53","","5","S","32","9","53","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","21","68","53","","5","S","36","9","59","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","22","66","53","","5","S","40","9","63","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-13","23","64","53","","3","SE","44","9","67","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","00","63","54","","3","SE","47","10","72","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","01","62","54","","2","SE","51","11","75","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","02","60","55","","2","SE","55","12","84","--","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","03","60","55","","2","SE","59","23","84","SChc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","04","59","55","","2","SE","62","34","87","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","05","58","55","","2","SE","65","44","90","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","06","56","55","","2","SE","69","49","96","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","07","59","56","","3","S","73","54","90","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","08","60","57","","3","S","76","54","90","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","09","61","57","","6","S","73","54","87","Chc","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","10","63","57","","7","S","71","55","81","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","11","64","57","","9","S","68","56","78","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","12","65","57","","9","S","69","59","75","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","13","65","56","","9","S","71","61","73","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","14","66","56","","9","S","72","62","70","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","15","66","56","","9","S","74","63","70","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","16","65","55","","9","S","75","64","70","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","17","65","55","","9","S","77","64","70","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","18","64","55","","9","S","79","68","73","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","19","63","56","","8","S","81","68","78","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","20","62","56","","8","S","83","67","81","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","21","61","56","","7","S","82","66","84","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","22","61","57","","7","S","82","65","87","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-14","23","60","57","","6","S","81","63","90","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-15","00","60","57","","6","S","80","61","90","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-15","01","59","58","","5","S","80","59","96","Lkly","--"
"grt","lat=44.5861&lon=-69.864","2021-06-15","02","59","58","","5","S","79","50","96","Chc","--"
