"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"GRT","44.53463467","-69.84512307","2021-06-18","16","77","51","77","10","S","23","0","40","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","17","76","52","76","10","S","28","1","43","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","18","75","52","75","10","S","43","1","45","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","19","72","53","","10","S","57","1","51","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","20","70","52","","8","S","72","3","53","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","21","67","53","","8","S","73","4","61","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","22","65","53","","7","S","74","7","65","--","--"
"GRT","44.53463467","-69.84512307","2021-06-18","23","64","53","","7","S","76","11","67","--","--"
"GRT","44.53463467","-69.84512307","2021-06-19","00","64","54","","7","S","73","10","70","--","--"
"GRT","44.53463467","-69.84512307","2021-06-19","01","64","55","","6","S","71","11","73","--","--"
"GRT","44.53463467","-69.84512307","2021-06-19","02","64","55","","6","S","68","16","73","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","03","64","56","","6","S","70","18","75","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","04","64","56","","6","S","72","19","75","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","05","64","57","","7","S","74","31","78","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","06","63","57","","7","S","70","32","81","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","07","64","58","","7","S","67","29","81","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","08","66","60","","7","S","63","36","81","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","09","68","61","","7","S","62","46","78","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","10","70","62","","7","S","62","46","76","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","11","72","63","","8","S","61","27","73","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","12","75","62","75","8","S","62","33","64","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","13","76","62","76","8","S","64","25","62","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-19","14","78","61","78","8","S","65","21","56","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-06-19","15","79","62","79","8","S","67","24","56","SChc","SChc"
"GRT","44.53463467","-69.84512307","2021-06-19","16","79","62","79","7","S","69","26","56","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","17","78","62","78","7","S","71","53","58","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","18","77","62","77","7","S","68","49","60","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","19","75","62","75","6","S","64","31","64","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","20","72","62","","6","S","61","31","71","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","21","70","61","","6","SW","61","30","73","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","22","68","60","","6","SW","62","30","76","Chc","Chc"
"GRT","44.53463467","-69.84512307","2021-06-19","23","67","59","","6","SW","62","25","75","Chc","--"
"GRT","44.53463467","-69.84512307","2021-06-20","00","66","59","","5","SW","49","21","78","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-20","01","65","58","","5","W","37","16","78","SChc","--"
"GRT","44.53463467","-69.84512307","2021-06-20","02","64","58","","5","W","24","12","81","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","03","63","58","","5","W","20","10","84","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","04","63","57","","5","W","15","9","81","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","05","62","57","","5","W","11","7","84","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","06","64","58","","5","W","9","6","81","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","07","66","60","","5","W","8","4","81","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","08","68","61","","5","W","6","10","78","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","09","71","60","","6","W","6","9","68","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","10","73","60","","6","W","6","7","64","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","11","76","59","76","7","W","6","7","56","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","12","77","58","77","7","W","8","7","52","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","13","79","58","79","7","W","11","7","49","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","14","80","57","80","7","W","13","3","45","--","--"
"GRT","44.53463467","-69.84512307","2021-06-20","15","80","57","80","7","W","15","3","45","--","--"
