"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"IND","41.48028848","-71.46820112","2021-10-18","02","50","42","46","10","W","40","10","74","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","03","50","42","46","10","W","35","10","74","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","04","49","41","45","10","W","31","10","74","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","05","49","41","45","10","W","26","10","74","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","06","48","41","43","10","W","29","7","77","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","07","48","40","44","9","W","19","4","74","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","08","49","40","45","9","W","11","1","71","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","09","50","39","46","10","W","25","7","66","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","10","52","39","","11","NW","38","12","61","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","11","54","38","","13","NW","52","18","54","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","12","56","37","","13","NW","52","18","49","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","13","57","37","","13","NW","52","18","47","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","14","57","37","","13","NW","52","18","47","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","15","57","36","","14","NW","52","18","45","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","16","56","37","","14","NW","52","18","49","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","17","55","37","","14","NW","52","18","51","SChc","--"
"IND","41.48028848","-71.46820112","2021-10-18","18","54","37","","14","NW","40","12","52","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","19","52","36","","13","NW","27","7","54","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","20","51","39","","13","NW","15","1","63","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","21","49","39","45","10","NW","21","2","68","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","22","48","38","43","10","NW","18","2","68","--","--"
"IND","41.48028848","-71.46820112","2021-10-18","23","48","38","44","9","NW","4","1","68","--","--"
"IND","41.48028848","-71.46820112","2021-10-19","00","47","37","43","9","NW","12","1","68","--","--"
"IND","41.48028848","-71.46820112","2021-10-19","01","46","37","41","9","NW","11","2","71","--","--"
"IND","41.48028848","-71.46820112",NA,"--","","02","46","36","41","9","NW","10","2",NA
"IND","41.48028848","-71.46820112",NA,"--","","03","45","36","40","9","NW","10","7",NA
"IND","41.48028848","-71.46820112",NA,"--","","04","45","35","40","10","NW","9","6",NA
"IND","41.48028848","-71.46820112",NA,"--","","05","45","35","40","10","NW","8","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","06","44","36","38","10","NW","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","07","44","36","38","10","W","4","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","08","45","37","40","10","W","3","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","09","48","39","43","13","W","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","10","52","39","","14","W","4","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","11","55","39","","14","W","2","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","12","58","39","","15","W","3","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","13","60","40","","15","W","5","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","14","62","40","","16","W","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","15","62","41","","15","W","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","16","62","42","","15","W","5","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","17","61","42","","14","W","5","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","18","60","43","","13","W","5","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","19","58","44","","11","W","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","20","57","44","","10","W","6","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","21","56","45","","10","W","8","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","22","55","45","","10","W","9","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","23","54","46","","10","W","11","5",NA
"IND","41.48028848","-71.46820112",NA,"--","10/20","00","54","46","","10","W","13","5",NA
"IND","41.48028848","-71.46820112",NA,"--","","01","53","46","","9","W","15","5",NA
