"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"MUR","34.07970194","-81.41616075","2021-06-19","03","75","70","75","8","SW","31","1","84","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","04","74","70","","8","SW","29","1","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","05","74","70","","7","SW","29","1","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","06","73","69","","7","SW","26","2","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","07","73","70","","7","SW","28","3","90","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","08","75","69","75","6","W","45","3","82","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","09","77","69","77","7","W","48","4","76","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","10","80","70","83","7","W","48","5","72","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","11","82","70","86","7","SW","49","6","67","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","12","83","69","87","8","SW","50","10","63","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","13","84","69","88","10","SW","52","15","61","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","14","84","68","87","10","SW","55","19","59","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","15","84","67","87","11","SW","64","19","57","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","16","84","66","86","13","SW","72","18","55","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","17","83","66","85","11","SW","79","17","57","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","18","81","66","83","11","SW","84","19","60","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","19","80","66","82","10","SW","82","21","62","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","20","78","67","78","8","SW","85","22","69","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","21","76","67","76","8","SW","85","24","74","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","22","76","68","76","6","SW","85","25","76","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","23","75","69","75","6","S","85","26","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","00","74","69","","7","S","85","33","84","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","01","74","68","","7","S","86","39","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","02","74","68","","6","S","86","46","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","03","73","69","","7","SE","86","46","87","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","04","73","69","","7","SE","86","46","87","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","05","73","70","","7","SE","86","46","90","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","06","72","70","","8","SE","87","49","93","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","07","72","70","","8","SE","82","53","93","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","08","72","71","","8","S","85","56","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","09","73","71","","9","S","84","56","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","10","73","72","","10","S","83","56","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","11","74","72","","10","S","86","56","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","12","75","72","75","10","S","82","56","90","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","13","76","72","76","11","S","82","56","87","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","14","77","72","77","11","SW","82","76","85","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","15","76","72","76","11","SW","83","76","87","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","16","76","72","76","11","SW","83","76","87","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","17","75","72","75","10","SW","84","76","90","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","18","75","72","75","9","SW","83","76","90","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","19","75","71","75","9","SW","82","76","87","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","20","75","71","75","10","S","81","71","87","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","21","74","72","","10","S","79","71","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","22","74","72","","7","S","78","71","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","23","74","73","","6","SW","77","71","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-21","00","73","72","","9","W","77","71","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-21","01","73","72","","13","W","78","71","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-21","02","73","72","","14","W","77","60","97","Lkly","SChc"
