"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","03","73","70","","6","SW","59","1","90","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","04","72","70","","5","SW","43","0","93","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","05","71","69","","5","W","18","0","93","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","06","71","69","","5","W","11","1","93","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","07","71","69","","5","W","17","2","93","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","08","73","70","","5","W","11","2","90","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","09","78","71","78","5","W","21","3","79","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","10","82","69","85","5","NW","16","3","65","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","11","86","68","89","6","NW","16","4","55","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","12","88","67","91","6","NW","15","6","50","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","13","91","65","93","7","NW","15","8","42","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","14","92","63","93","7","NW","24","9","38","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","15","92","62","93","7","NW","21","11","37","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","16","90","61","90","7","NW","25","12","38","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","17","88","60","88","7","N","26","11","39","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","18","87","60","87","7","N","27","10","40","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","19","86","60","86","6","N","26","8","42","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","20","84","61","84","5","N","24","6","46","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","21","79","61","79","5","N","26","5","54","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","22","77","61","77","5","N","23","3","58","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-15","23","75","60","75","5","N","18","3","60","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","00","73","60","","5","N","18","2","64","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","01","72","59","","5","N","14","1","64","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","02","71","59","","5","N","15","1","66","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","03","70","59","","5","N","25","1","68","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","04","68","58","","6","N","26","1","70","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","05","67","58","","6","N","27","1","73","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","06","67","58","","6","N","27","1","73","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","07","66","58","","6","N","33","1","75","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","08","71","59","","6","N","24","1","66","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","09","73","59","","6","N","24","1","62","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","10","76","59","76","6","N","23","1","56","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","11","79","59","79","6","N","23","1","50","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","12","82","58","82","6","N","22","1","45","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","13","85","58","84","5","N","22","1","39","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","14","87","57","86","5","N","21","7","36","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","15","87","57","86","5","N","20","7","36","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","16","86","57","85","5","N","19","7","37","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","17","85","57","84","5","NW","18","7","39","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","18","84","58","83","3","NW","14","7","41","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","19","82","59","82","3","N","11","7","46","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","20","80","60","81","2","N","7","3","51","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","21","78","60","78","2","N","8","3","54","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","22","75","60","75","2","N","8","3","59","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-16","23","73","59","","2","N","9","3","62","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-17","00","71","58","","2","N","12","3","65","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-17","01","69","58","","2","N","16","3","67","--","--"
"mur","lat=34.1205&lon=-81.2645","2021-06-17","02","68","57","","2","N","19","1","68","--","--"
