"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"MUR","34.07970194","-81.41616075","2021-06-18","16","89","64","90","6","S","37","1","44","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","17","89","65","91","6","S","37","1","45","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","18","89","65","91","5","S","35","1","45","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","19","88","66","90","6","S","33","1","48","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","20","86","67","89","7","S","31","1","53","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","21","83","68","86","9","S","37","1","61","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","22","80","68","83","9","S","36","1","67","--","--"
"MUR","34.07970194","-81.41616075","2021-06-18","23","79","68","79","10","S","37","0","69","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","00","77","69","77","10","S","35","0","76","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","01","76","69","76","10","S","35","0","79","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","02","75","70","75","10","SW","32","1","84","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","03","75","70","75","9","SW","31","1","84","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","04","74","69","","9","SW","29","1","84","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","05","73","69","","8","SW","29","1","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","06","73","69","","8","SW","26","2","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","07","73","69","","8","SW","28","3","87","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","08","75","69","75","8","W","45","3","82","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","09","77","69","77","8","W","48","4","76","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","10","80","70","83","9","W","48","5","72","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","11","82","70","86","9","W","49","6","67","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","12","83","69","87","9","W","50","10","63","--","--"
"MUR","34.07970194","-81.41616075","2021-06-19","13","84","69","88","10","W","52","15","61","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","14","84","68","87","10","W","55","19","59","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","15","84","67","87","11","W","64","19","57","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","16","84","66","86","13","W","72","18","55","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","17","83","66","85","13","W","79","17","57","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","18","81","66","83","13","SW","84","19","60","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","19","80","66","82","11","SW","82","21","62","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","20","78","67","78","10","SW","85","22","69","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","21","76","67","76","9","SW","85","24","74","SChc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","22","76","68","76","9","SW","85","25","76","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-19","23","75","69","75","9","SW","85","26","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","00","74","69","","8","SW","85","33","84","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","01","74","68","","7","SW","86","39","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","02","74","68","","7","SW","86","46","82","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","03","73","69","","7","S","86","46","87","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","04","73","69","","7","S","86","46","87","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","05","73","70","","8","S","86","46","90","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","06","72","70","","8","S","87","49","93","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","07","72","70","","8","S","82","53","93","Chc","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","08","72","71","","8","S","85","56","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","09","73","71","","9","S","84","56","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","10","73","72","","7","S","83","56","97","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","11","74","72","","8","S","86","56","93","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","12","75","72","75","9","S","82","56","90","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","13","76","72","76","9","S","82","56","87","Lkly","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","14","77","72","77","10","S","82","76","85","Ocnl","SChc"
"MUR","34.07970194","-81.41616075","2021-06-20","15","76","72","76","11","S","83","76","87","Ocnl","SChc"
