"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"PAN","43.92452256","-70.46889041","2021-06-25","03","49","48","","1","SE","30","4","96","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","04","48","48","","1","E","38","8","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","05","47","47","","1","E","47","11","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","06","50","50","","1","E","64","14","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","07","54","52","","1","E","63","17","93","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","08","55","55","","2","E","74","21","100","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","09","59","56","","2","E","76","19","90","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","10","63","57","","3","E","79","18","81","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","11","66","58","","6","E","81","17","75","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","12","68","58","","6","SE","76","16","70","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","13","70","60","","6","SE","75","15","71","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-25","14","70","60","","6","SE","78","14","71","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","15","71","61","","6","SE","77","13","71","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","16","72","62","","6","SE","73","12","71","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","17","74","62","","6","SE","68","12","66","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","18","71","62","","5","SE","68","11","73","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","19","70","62","","5","S","67","10","76","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","20","68","62","","3","S","65","10","81","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","21","66","62","","3","S","63","9","87","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","22","65","61","","3","S","61","9","87","--","--"
"PAN","43.92452256","-70.46889041","2021-06-25","23","63","61","","3","S","67","8","93","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","00","63","61","","3","S","70","8","93","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","01","62","61","","2","S","73","8","97","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","02","61","61","","2","S","71","7","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","03","60","60","","2","S","75","8","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","04","60","60","","2","S","74","9","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","05","59","59","","2","S","73","9","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","06","59","59","","3","S","79","10","100","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","07","63","62","","5","S","74","10","97","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","08","66","64","","8","S","78","11","93","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","09","70","65","","9","S","72","11","84","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","10","73","65","","10","S","70","12","76","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","11","76","66","76","11","S","70","12","71","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","12","78","67","78","13","S","75","13","69","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","13","79","67","79","14","S","78","13","67","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","14","80","68","83","15","S","81","14","67","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","15","80","68","83","14","S","81","16","67","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-26","16","81","68","84","14","S","80","19","65","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-26","17","83","68","86","13","S","80","22","61","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-26","18","80","68","83","11","S","81","18","67","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-26","19","78","68","78","9","S","81","15","71","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-26","20","74","68","","8","S","82","11","82","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","21","73","68","","8","S","82","11","84","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","22","71","67","","8","S","83","11","87","--","--"
"PAN","43.92452256","-70.46889041","2021-06-26","23","70","67","","8","S","83","11","90","--","--"
"PAN","43.92452256","-70.46889041","2021-06-27","00","70","67","","8","S","80","11","91","--","--"
"PAN","43.92452256","-70.46889041","2021-06-27","01","69","67","","7","S","78","11","92","--","--"
"PAN","43.92452256","-70.46889041","2021-06-27","02","69","67","","7","SW","75","11","93","--","--"
