"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"pan","lat=43.9261&lon=-70.468","2021-06-11","10","64","45","","8","E","15","1","50","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","11","65","45","","9","E","21","1","48","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","12","67","45","","10","SE","30","3","45","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","13","68","46","","9","SE","37","4","45","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","14","68","48","","9","SE","47","6","49","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","15","68","50","","9","SE","51","6","52","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","16","67","51","","9","SE","57","5","56","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","17","67","51","","9","SE","60","5","56","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","18","65","52","","9","SE","65","6","63","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","19","64","53","","8","SE","68","6","67","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","20","61","55","","7","SE","79","7","81","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","21","60","55","","6","E","78","3","84","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","22","59","54","","6","E","84","3","83","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-11","23","59","55","","5","E","82","3","87","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","00","58","54","","6","E","87","5","86","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","01","58","54","","5","E","82","6","86","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","02","58","54","","5","E","78","18","86","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","03","57","54","","5","E","81","19","90","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","04","57","54","","5","NE","84","20","90","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","05","57","54","","6","NE","87","22","90","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","06","57","54","","6","NE","87","21","90","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","07","59","55","","7","NE","87","25","87","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","08","60","56","","7","NE","88","30","87","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","09","62","55","","7","NE","81","23","78","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","10","63","55","","7","NE","74","18","75","SChc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","11","64","54","","7","NE","68","11","70","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","12","65","55","","7","NE","63","9","70","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","13","67","55","","7","NE","59","6","65","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","14","68","55","","7","NE","54","3","63","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","15","69","55","","7","E","53","3","61","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","16","69","55","","7","E","53","2","61","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","17","68","55","","6","SE","52","2","63","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","18","66","55","","6","SE","47","1","68","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","19","64","54","","5","S","41","1","70","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","20","62","54","","2","S","32","1","75","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","21","60","54","","2","S","31","2","81","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","22","58","54","","2","S","30","2","86","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-12","23","57","54","","2","S","30","2","90","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","00","56","54","","2","S","39","3","93","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","01","56","54","","2","SW","47","3","93","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","02","56","54","","2","SW","56","4","93","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","03","56","54","","2","SW","61","4","93","--","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","04","55","54","","2","W","65","5","96","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","05","56","54","","2","W","70","6","93","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","06","58","55","","2","W","63","6","90","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","07","60","56","","3","SW","55","7","87","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","08","63","57","","3","SW","48","7","81","Chc","--"
"pan","lat=43.9261&lon=-70.468","2021-06-13","09","66","57","","5","SW","40","8","73","--","--"
