"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"PAN","43.92452256","-70.46889041","2021-06-18","16","80","49","79","10","SW","40","1","34","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","17","79","50","79","10","S","52","1","36","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","18","77","52","77","10","S","63","1","42","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","19","74","53","","8","S","74","1","48","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","20","70","54","","6","S","85","3","57","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","21","67","53","","6","S","82","7","61","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","22","65","54","","6","S","80","13","68","--","--"
"PAN","43.92452256","-70.46889041","2021-06-18","23","65","55","","6","S","78","13","70","--","--"
"PAN","43.92452256","-70.46889041","2021-06-19","00","65","55","","5","S","72","15","70","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","01","65","55","","5","S","67","16","70","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","02","64","56","","5","S","62","16","75","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","03","64","55","","6","S","63","18","73","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","04","64","55","","6","S","64","20","73","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","05","63","55","","7","SW","65","33","75","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","06","62","56","","7","SW","62","35","81","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","07","64","57","","8","SW","59","29","78","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","08","67","59","","8","SW","57","29","75","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","09","69","61","","8","SW","58","46","76","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","10","72","62","","8","SW","60","45","71","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","11","75","63","75","8","SW","61","28","66","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","12","77","62","77","8","SW","57","26","60","Chc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","13","80","61","81","8","SW","52","25","52","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-19","14","83","61","83","8","SW","47","18","47","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","15","83","61","83","8","SW","49","21","47","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","16","84","60","84","7","SW","51","24","44","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","17","83","59","83","7","SW","53","45","44","Chc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","18","81","59","81","7","SW","57","44","47","Chc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","19","78","60","78","6","SW","62","26","54","Chc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","20","74","60","","6","SW","66","25","62","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","21","72","60","","6","SW","67","23","66","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","22","69","59","","5","W","69","22","70","SChc","SChc"
"PAN","43.92452256","-70.46889041","2021-06-19","23","67","58","","5","W","70","21","73","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-20","00","66","58","","3","W","57","20","75","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-20","01","64","58","","3","W","45","19","81","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-20","02","63","58","","2","W","32","17","84","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-20","03","62","57","","2","W","24","15","84","SChc","--"
"PAN","43.92452256","-70.46889041","2021-06-20","04","61","57","","3","W","17","13","87","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","05","60","56","","3","W","9","10","87","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","06","63","57","","3","W","9","8","81","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","07","66","58","","5","W","8","5","75","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","08","69","59","","5","W","8","8","70","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","09","72","59","","6","W","7","7","64","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","10","76","59","76","7","W","6","5","56","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","11","79","59","79","8","W","5","5","50","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","12","81","58","81","8","W","9","5","46","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","13","82","58","82","8","W","14","5","44","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","14","84","57","83","8","W","18","3","40","--","--"
"PAN","43.92452256","-70.46889041","2021-06-20","15","84","57","83","7","W","21","3","40","--","--"
