"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"ri","lat=41.484&lon=-71.5522","2021-06-15","03","62","61","","3","S","95","83","97","Ocnl","Chc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","04","62","61","","2","S","95","75","97","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","05","62","61","","2","S","95","67","97","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","06","63","61","","2","SW","96","65","93","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","07","64","62","","2","S","93","62","93","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","08","66","63","","3","S","94","60","90","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","09","67","64","","5","S","91","58","90","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","10","69","64","","6","SW","91","56","84","Lkly","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","11","70","64","","6","SW","90","53","81","Lkly","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","12","71","64","","6","S","88","48","79","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","13","71","64","","8","S","86","43","79","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","14","71","64","","8","SW","84","37","79","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","15","72","64","","8","SW","77","41","76","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","16","72","63","","7","SW","72","44","73","Chc","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","17","73","63","","7","SW","66","47","71","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","18","72","63","","7","SW","60","35","73","Ocnl","SChc"
"ri","lat=41.484&lon=-71.5522","2021-06-15","19","70","63","","6","SW","49","24","78","SChc","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","20","67","63","","6","W","38","12","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","21","66","62","","5","W","34","9","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","22","65","61","","5","W","33","6","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-15","23","64","60","","5","W","51","3","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","00","63","59","","5","W","49","3","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","01","63","58","","5","W","41","2","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","02","62","57","","5","NW","33","1","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","03","60","56","","6","NW","27","1","87","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","04","60","55","","6","NW","21","1","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","05","60","55","","5","NW","15","2","84","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","06","60","54","","6","NW","14","2","81","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","07","62","54","","7","N","12","2","75","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","08","65","55","","8","N","11","3","70","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","09","68","54","","8","N","10","3","61","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","10","71","54","","8","N","10","4","55","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","11","73","53","","8","N","9","4","49","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","12","74","52","","8","NW","12","4","46","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","13","75","52","75","7","W","15","5","45","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","14","75","51","75","7","W","18","5","43","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","15","75","51","75","7","W","19","4","43","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","16","74","51","","7","W","21","4","44","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","17","73","52","","7","W","22","3","48","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","18","72","51","","6","W","20","3","48","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","19","70","51","","6","W","19","2","51","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","20","68","50","","5","W","17","2","52","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","21","65","51","","5","W","13","3","60","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","22","63","50","","3","W","9","3","62","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-16","23","61","50","","3","W","5","3","67","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-17","00","60","49","","3","NW","4","4","67","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-17","01","58","48","","5","NW","3","4","69","--","--"
"ri","lat=41.484&lon=-71.5522","2021-06-17","02","57","47","","5","NW","2","5","69","--","--"
