"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"SAB","44.14573892","-70.09812802","2021-10-06","02","47","47","47","1","W","17","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","03","46","46","46","2","NW","17","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","04","45","45","45","2","NW","16","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","05","45","45","45","2","NW","16","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","06","44","44","44","2","NW","13","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","07","43","43","43","2","N","9","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","08","46","46","46","2","N","6","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","09","51","48","","2","N","6","0","89","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","10","56","50","","3","N","6","0","80","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","11","60","52","","3","N","7","0","75","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","12","64","51","","3","N","6","0","63","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","13","66","51","","2","N","5","0","58","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","14","67","51","","2","N","4","0","56","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","15","68","51","","2","N","4","0","54","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","16","70","52","","1","E","3","0","53","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","17","66","52","","1","SE","3","0","61","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","18","62","52","","1","S","3","0","70","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","19","59","52","","2","S","3","0","78","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","20","56","52","","2","S","2","0","86","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","21","54","51","","2","SW","2","0","90","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","22","52","51","","2","W","2","0","96","--","--"
"SAB","44.14573892","-70.09812802","2021-10-06","23","51","50","","1","W","2","0","96","--","--"
"SAB","44.14573892","-70.09812802","2021-10-07","00","49","49","49","2","W","3","0","100","--","--"
"SAB","44.14573892","-70.09812802","2021-10-07","01","48","48","48","2","NW","5","0","100","--","--"
"SAB","44.14573892","-70.09812802",NA,"--","","02","48","48","48","2","NW","6","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","03","47","47","47","2","NW","6","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","04","46","46","46","2","N","7","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","05","45","45","45","2","N","7","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","06","45","45","45","2","N","9","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","07","43","43","43","2","NW","10","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","08","46","46","46","2","NW","11","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","09","52","48","","2","NW","8","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","10","57","50","","2","NW","6","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","11","62","51","","2","NW","3","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","12","65","51","","2","NW","3","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","13","68","51","","2","W","2","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","14","69","51","","3","W","2","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","15","70","51","","2","W","2","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","16","72","52","","2","SW","2","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","17","69","52","","2","SW","1","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","18","65","53","","2","SW","1","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","19","62","53","","2","SW","1","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","20","57","54","","2","SW","1","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","21","56","53","","2","SW","2","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","22","55","53","","2","W","4","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","23","54","52","","2","W","5","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","10/08","00","53","51","","2","W","5","0",NA
"SAB","44.14573892","-70.09812802",NA,"--","","01","52","51","","2","NW","5","0",NA
