"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","03","51","48","","2","W","46","0","89","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","04","50","47","","2","W","47","0","89","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","05","51","47","","2","W","47","0","86","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","06","52","48","","2","W","48","0","86","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","07","55","49","","3","W","49","0","80","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","08","58","50","","3","W","50","0","75","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","09","63","50","","3","W","47","0","62","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","10","69","50","","5","W","43","1","51","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","11","74","50","","5","W","39","1","43","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","12","77","50","77","6","W","41","1","39","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","13","78","49","78","6","W","42","2","36","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","14","78","48","78","6","SW","43","2","35","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","15","78","49","78","6","SW","42","2","36","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","16","78","50","78","6","S","41","1","37","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","17","80","50","80","7","S","39","1","35","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","18","76","52","76","7","S","33","1","43","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","19","74","53","","7","S","28","9","48","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","20","71","55","","7","S","22","9","57","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","21","68","55","","6","S","27","9","63","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","22","66","55","","6","S","32","9","68","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-13","23","64","55","","5","S","37","9","73","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","00","63","55","","5","S","42","10","75","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","01","62","55","","3","SE","47","11","78","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","02","60","55","","3","SE","52","12","84","--","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","03","59","55","","5","SE","55","23","87","SChc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","04","59","55","","5","SE","59","34","87","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","05","58","55","","5","SE","62","44","90","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","06","56","55","","5","SE","66","47","96","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","07","59","55","","6","S","71","48","87","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","08","60","56","","6","S","75","44","87","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","09","62","57","","8","S","72","50","84","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","10","63","57","","9","S","69","51","81","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","11","65","58","","11","S","66","53","78","Chc","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","12","65","58","","11","S","68","56","78","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","13","66","57","","11","S","71","58","73","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","14","66","57","","11","S","73","60","73","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","15","65","57","","11","S","74","62","75","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","16","65","57","","11","S","76","64","75","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","17","64","57","","11","S","77","66","78","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","18","63","57","","10","S","79","68","81","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","19","63","57","","9","S","80","68","81","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","20","62","57","","8","S","82","66","84","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","21","61","57","","7","S","82","64","87","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","22","61","58","","6","S","83","62","90","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-14","23","60","58","","5","S","83","59","93","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-15","00","59","58","","5","S","82","57","96","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-15","01","59","59","","3","S","81","55","100","Lkly","--"
"sab","lat=44.1152&lon=-70.1027","2021-06-15","02","58","58","","3","S","80","44","100","Chc","--"
