"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"SAB","44.14573892","-70.09812802","2021-06-18","16","77","51","77","11","S","33","1","40","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","17","76","51","76","11","S","43","1","42","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","18","73","52","","10","S","55","1","48","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","19","70","51","","9","S","68","1","51","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","20","67","52","","7","S","81","2","59","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","21","65","53","","7","S","78","4","65","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","22","64","53","","6","S","76","8","67","--","--"
"SAB","44.14573892","-70.09812802","2021-06-18","23","63","54","","6","S","74","12","72","--","--"
"SAB","44.14573892","-70.09812802","2021-06-19","00","63","55","","6","S","73","10","75","--","--"
"SAB","44.14573892","-70.09812802","2021-06-19","01","63","55","","5","S","72","11","75","--","--"
"SAB","44.14573892","-70.09812802","2021-06-19","02","64","55","","5","S","71","16","73","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","03","63","55","","6","S","72","17","75","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","04","63","56","","6","S","72","17","78","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","05","62","55","","7","S","73","27","78","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","06","62","56","","7","S","68","30","81","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","07","64","57","","8","S","63","20","78","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","08","67","59","","8","S","58","35","75","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","09","69","61","","8","S","59","48","76","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","10","71","62","","8","S","60","45","73","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","11","73","63","","8","SW","61","32","71","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","12","75","62","75","8","SW","58","28","64","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","13","78","63","78","8","SW","56","26","60","Chc","--"
"SAB","44.14573892","-70.09812802","2021-06-19","14","81","63","82","8","SW","53","18","54","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","15","80","62","81","8","SW","56","21","54","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","16","80","62","81","7","SW","59","24","54","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","17","79","62","79","7","SW","61","48","56","Chc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","18","78","61","78","6","SW","65","47","56","Chc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","19","75","61","75","6","SW","68","25","62","Chc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","20","72","60","","5","SW","71","24","66","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","21","70","60","","5","SW","70","23","71","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","22","67","59","","3","SW","69","22","75","SChc","SChc"
"SAB","44.14573892","-70.09812802","2021-06-19","23","66","58","","3","SW","68","21","75","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-20","00","65","58","","3","SW","57","20","78","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-20","01","63","58","","2","W","47","18","84","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-20","02","62","58","","2","W","36","17","87","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-20","03","61","57","","2","W","28","15","87","SChc","--"
"SAB","44.14573892","-70.09812802","2021-06-20","04","60","57","","3","W","20","12","90","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","05","59","56","","3","W","12","10","90","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","06","62","57","","3","W","12","8","84","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","07","66","59","","5","W","11","5","78","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","08","69","60","","5","W","11","8","73","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","09","72","60","","6","W","9","7","66","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","10","75","59","75","7","W","8","5","58","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","11","78","59","78","8","W","6","5","52","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","12","79","59","79","8","W","9","5","50","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","13","81","58","81","8","W","13","5","46","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","14","82","58","82","8","W","16","3","44","--","--"
"SAB","44.14573892","-70.09812802","2021-06-20","15","82","58","82","7","W","19","3","44","--","--"
