"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"SUN","43.37854317","-72.05551148","2021-09-04","02","54","51","","5","W","14","0","90","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","03","53","51","","5","W","14","0","91","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","04","53","50","","5","W","13","0","89","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","05","52","50","","5","W","13","0","93","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","06","52","50","","7","W","14","0","93","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","07","54","50","","7","NW","15","0","86","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","08","56","51","","8","NW","16","0","83","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","09","58","52","","9","NW","15","0","80","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","10","61","52","","9","NW","14","0","72","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","11","66","52","","9","NW","13","0","61","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","12","67","51","","9","NW","12","0","56","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","13","69","50","","9","NW","12","0","51","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","14","70","49","","8","NW","11","0","47","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","15","71","49","","8","NW","11","0","46","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","16","71","49","","7","NW","12","0","46","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","17","70","49","","7","NW","12","0","47","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","18","68","50","","6","NW","15","0","52","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","19","66","51","","5","W","18","0","58","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","20","63","52","","3","W","22","1","67","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","21","61","53","","3","W","27","1","75","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","22","60","53","","2","W","32","3","78","--","--"
"SUN","43.37854317","-72.05551148","2021-09-04","23","58","52","","2","W","31","3","80","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","00","57","51","","2","W","39","3","80","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","01","57","51","","2","SW","47","3","80","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","02","56","51","","2","SW","55","4","83","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","03","55","51","","2","S","58","4","86","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","04","55","51","","2","S","61","5","86","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","05","54","51","","1","S","64","6","90","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","06","54","52","","2","S","66","7","93","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","07","53","52","","2","S","67","7","96","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","08","56","54","","3","S","79","7","93","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","09","59","55","","3","S","77","9","87","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","10","62","56","","5","S","76","10","81","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","11","65","57","","5","S","74","12","75","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","12","67","58","","5","S","71","14","73","--","--"
"SUN","43.37854317","-72.05551148","2021-09-05","13","68","58","","6","S","69","15","70","SChc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","14","68","59","","6","S","66","17","73","SChc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","15","69","60","","6","S","67","18","73","SChc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","16","70","60","","6","S","68","19","71","SChc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","17","69","61","","6","S","69","20","76","SChc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","18","69","61","","6","S","73","26","76","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","19","67","61","","6","S","77","33","81","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","20","66","61","","6","S","81","39","84","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","21","65","61","","6","S","81","35","87","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","22","64","62","","6","S","81","31","93","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-05","23","63","62","","6","S","81","27","97","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-06","00","63","62","","6","S","82","33","97","Chc","--"
"SUN","43.37854317","-72.05551148","2021-09-06","01","63","62","","6","S","82","32","97","Chc","--"
