"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","03","52","49","","2","E","96","69","93","Lkly","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","04","52","49","","2","E","94","73","93","Lkly","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","05","52","49","","2","E","93","66","93","Lkly","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","06","52","50","","2","E","86","45","96","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","07","53","50","","2","E","79","20","89","SChc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","08","55","50","","1","E","73","13","83","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","09","59","51","","1","E","66","7","75","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","10","62","51","","1","E","59","5","67","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","11","65","50","","1","E","52","2","58","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","12","67","50","","1","E","45","2","54","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","13","69","50","","1","SE","41","2","51","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","14","71","50","","1","SE","37","2","47","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","15","73","50","","1","SE","36","1","44","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","16","73","51","","2","S","36","1","46","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","17","73","51","","2","SW","35","1","46","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","18","73","52","","2","SW","36","1","48","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","19","70","52","","3","SW","38","1","53","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","20","67","53","","3","SW","39","2","61","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","21","64","53","","3","SW","44","4","67","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","22","61","53","","3","SW","49","3","75","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-12","23","59","53","","2","SW","52","2","80","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","00","58","53","","2","W","52","3","83","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","01","56","52","","3","W","57","5","86","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","02","55","51","","3","W","58","6","86","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","03","54","50","","3","W","57","7","86","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","04","52","50","","2","W","55","8","93","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","05","53","50","","2","W","54","9","89","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","06","54","50","","2","W","50","9","86","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","07","58","52","","2","W","45","10","80","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","08","60","55","","2","W","42","6","84","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","09","64","55","","3","W","40","8","73","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","10","68","54","","3","W","37","10","61","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","11","71","54","","3","SW","35","12","55","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","12","73","53","","3","SW","33","14","49","--","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","13","74","52","","3","SW","31","17","46","SChc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","14","75","52","75","3","SW","30","19","45","SChc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","15","76","51","76","3","SW","37","21","42","SChc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","16","77","51","77","3","SW","43","23","40","SChc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","17","78","51","78","3","SW","50","26","39","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","18","74","52","","3","SW","56","27","46","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","19","72","54","","3","SW","63","28","53","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","20","70","55","","3","S","69","30","59","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","21","67","55","","3","S","70","31","65","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","22","65","55","","3","S","71","32","70","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-13","23","64","55","","3","S","72","34","73","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-14","00","62","55","","3","S","74","35","78","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-14","01","61","55","","3","S","76","36","81","Chc","--"
"sun","lat=43.3834&lon=-72.0832","2021-06-14","02","59","55","","3","S","78","37","87","Chc","Chc"
