"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"WAT","34.4251547","-80.81471948","2021-08-25","02","73","73","","2","S","28","4","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","03","73","73","","2","S","31","4","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","04","73","73","","1","S","34","4","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","05","73","73","","1","S","37","5","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","06","73","73","","1","S","40","5","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","07","73","73","","2","SE","42","6","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","08","76","74","76","2","E","42","7","94","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","09","78","74","78","2","E","40","9","88","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","10","81","75","87","3","SE","37","12","82","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","11","84","75","92","3","SE","39","13","74","--","--"
"WAT","34.4251547","-80.81471948","2021-08-25","12","86","75","95","5","SE","46","19","70","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-25","13","87","75","96","5","SE","56","25","68","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","14","88","74","97","6","SE","64","31","63","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","15","90","73","98","6","SE","68","50","58","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","16","91","73","100","6","SE","68","50","56","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","17","91","73","100","6","SE","66","49","56","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","18","88","73","96","5","SE","65","46","61","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","19","84","73","90","5","SE","62","44","70","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","20","80","74","84","3","S","60","30","82","Chc","Chc"
"WAT","34.4251547","-80.81471948","2021-08-25","21","78","74","78","3","S","56","23","88","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-25","22","77","73","77","3","S","52","19","87","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-25","23","76","73","76","3","S","47","16","90","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","00","77","73","77","2","S","42","14","87","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","01","76","73","76","2","S","37","11","90","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","02","75","73","75","1","S","34","7","94","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","03","73","72","","1","S","33","3","97","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","04","72","72","","1","S","33","3","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","05","72","72","","1","S","35","3","100","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","06","72","71","","1","S","38","3","97","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","07","72","71","","1","S","41","3","97","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","08","74","72","","1","S","42","8","93","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","09","75","73","75","1","SE","29","10","94","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","10","79","73","79","1","SE","23","12","82","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","11","82","74","88","2","S","18","13","77","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","12","85","73","92","2","S","17","13","67","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","13","87","72","94","2","S","18","13","61","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","14","89","72","96","3","S","18","16","57","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","15","89","71","95","3","SE","18","19","56","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","16","89","71","95","3","SE","19","21","56","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","17","88","71","94","3","SE","20","22","57","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","18","86","71","91","3","SE","23","23","61","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","19","84","71","89","2","SE","27","23","65","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-08-26","20","82","72","87","2","SE","31","1","72","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","21","80","71","83","2","SE","30","1","74","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","22","78","71","78","1","SE","28","1","79","--","--"
"WAT","34.4251547","-80.81471948","2021-08-26","23","76","71","76","1","SE","27","1","85","--","--"
"WAT","34.4251547","-80.81471948","2021-08-27","00","75","71","75","1","SE","29","1","87","--","--"
"WAT","34.4251547","-80.81471948","2021-08-27","01","74","71","","1","SE","31","1","90","--","--"
