"lake","loc","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","03","73","73","","3","W","45","13","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","04","73","72","","3","W","45","14","97","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","05","72","72","","2","W","43","15","100","SChc","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","06","71","71","","2","W","38","12","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","07","72","72","","2","W","45","9","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","08","74","72","","2","W","35","6","93","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","09","77","73","77","2","NW","39","4","87","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","10","80","73","84","2","NW","23","9","79","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","11","82","73","87","2","NW","23","16","74","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","12","83","73","89","2","NW","41","26","72","Chc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","13","84","72","90","3","NW","54","44","67","Chc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","14","84","73","90","2","NW","60","63","70","Lkly","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","15","84","73","90","5","NW","56","68","70","Lkly","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","16","86","72","92","3","NW","61","77","63","Ocnl","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","17","84","73","90","5","NW","66","80","70","Ocnl","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","18","83","72","88","3","N","45","75","70","Ocnl","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","19","81","73","86","3","NE","68","71","77","Lkly","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","20","79","74","79","2","N","57","40","85","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","21","77","74","77","1","N","58","37","92","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","22","75","74","75","1","NE","59","35","97","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-12","23","73","73","","1","NE","60","33","100","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","00","72","72","","1","NE","57","31","100","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","01","71","71","","2","NE","54","29","98","Chc","Chc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","02","71","70","","2","N","51","13","97","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","03","70","69","","2","N","49","10","97","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","04","69","69","","2","N","46","10","99","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","05","69","69","","2","N","44","9","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","06","69","69","","2","N","48","8","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","07","69","69","","2","NE","51","6","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","08","70","70","","2","NE","55","7","100","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","09","72","70","","2","NE","54","7","94","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","10","75","71","75","3","NE","54","7","86","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","11","78","71","78","3","NE","53","7","79","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","12","80","71","83","3","NE","52","7","74","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","13","81","70","85","2","NE","50","7","70","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","14","82","70","86","2","NE","49","17","67","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","15","83","70","88","2","NE","45","17","64","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","16","85","70","89","2","NE","41","17","61","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","17","85","70","90","2","NE","37","17","61","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","18","84","70","89","1","NE","33","17","63","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","19","83","71","87","1","NE","30","17","67","SChc","SChc"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","20","81","71","85","0","N","26","13","72","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","21","79","71","79","0","N","26","13","78","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","22","76","71","76","0","N","25","13","84","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-13","23","74","71","","0","N","25","13","90","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-14","00","73","71","","0","N","28","13","94","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-14","01","72","70","","0","N","32","13","96","--","--"
"wat","lat=34.4335&lon=-80.8665","2021-06-14","02","71","70","","0","N","35","4","97","--","--"
