"EB_Lake_ID","lat_dd","long_dd","date","hour","air_temp_F","dewpoint_F","heat_indx_F","wind_mph","wind_dir_gust","sky_cover_perc","precip_potential_perc","rel_hum_perc","rain","thunder"
"WAT","34.4251547","-80.81471948","2021-06-18","16","91","59","90","6","S","36","1","34","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","17","91","60","91","7","S","39","1","36","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","18","90","61","90","6","S","37","1","38","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","19","88","63","89","6","S","32","1","43","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","20","86","65","88","6","S","28","1","50","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","21","81","66","83","6","S","24","1","60","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","22","79","66","79","7","S","26","1","64","--","--"
"WAT","34.4251547","-80.81471948","2021-06-18","23","77","67","77","7","S","27","1","71","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","00","75","67","75","7","S","27","1","76","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","01","74","67","","7","S","26","0","79","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","02","74","68","","7","SW","27","1","82","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","03","73","68","","6","S","30","1","84","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","04","72","69","","6","S","31","1","90","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","05","71","69","","5","S","33","1","93","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","06","72","69","","5","SW","32","1","90","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","07","71","69","","5","SW","29","2","93","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","08","75","69","75","5","SW","43","2","82","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","09","79","68","79","6","SW","40","2","69","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","10","82","69","85","7","SW","37","3","65","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","11","85","69","89","8","SW","41","4","59","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","12","87","68","91","9","SW","38","7","53","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","13","89","67","92","9","SW","44","9","48","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","14","89","66","92","10","SW","53","12","47","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","15","89","66","92","10","SW","60","13","47","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","16","89","65","91","11","SW","68","14","45","--","--"
"WAT","34.4251547","-80.81471948","2021-06-19","17","88","65","90","11","SW","74","15","47","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","18","85","66","87","11","SW","77","15","53","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","19","82","66","84","10","SW","79","16","58","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","20","79","66","79","9","SW","83","17","64","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","21","77","66","77","9","SW","81","17","69","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","22","76","67","76","9","SW","83","17","74","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-19","23","75","67","75","8","SW","82","17","76","SChc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","00","74","67","","7","SW","84","25","79","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","01","74","67","","7","SW","86","32","79","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","02","73","67","","6","SW","85","39","81","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","03","72","67","","5","SW","84","40","84","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","04","72","68","","5","S","84","40","87","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","05","71","68","","3","S","84","41","90","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","06","71","69","","3","S","86","43","93","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","07","71","69","","5","S","84","47","93","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","08","72","70","","5","S","85","49","93","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","09","73","71","","7","S","85","49","93","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","10","75","71","75","6","S","83","49","87","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","11","77","72","77","6","S","86","49","85","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","12","78","72","78","7","S","81","49","82","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","13","78","72","78","8","S","81","49","82","Chc","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","14","79","72","79","8","S","81","69","79","Lkly","SChc"
"WAT","34.4251547","-80.81471948","2021-06-20","15","79","71","79","8","S","81","69","77","Lkly","SChc"
