"station","date","time","wind_mph","vis_mi","weather","sky_cond","air_temp_F","dewpoint_F","air_temp_max_6h_F","air_temp_min_6h_F","rel_hum_perc","wind_chill_F","heat_indx_F","pres_alt_in","pres_sea_mb","precip_1hr_in","precip_3h_in","precip_6h_in","download_date","datetime"
"KCAE","2021-06-04","16:56","NW 13","10","Mostly Cloudy","SCT040 BKN130 BKN220","87","66",NA,NA,"50%",NA,"89","29.97","1014.5",NA,NA,NA,"2021-06-07","2021-06-04 16:56:00"
"KCAE","2021-06-04","17:56","NW 9","10","Mostly Cloudy","SCT040 BKN180","87","67",NA,NA,"51%",NA,"90","29.98","1014.8",NA,NA,NA,"2021-06-07","2021-06-04 17:56:00"
"KCAE","2021-06-04","18:56","NW 6","10","Partly Cloudy","FEW040 SCT180","87","66",NA,NA,"50%",NA,"89","29.97","1014.6",NA,NA,NA,"2021-06-07","2021-06-04 18:56:00"
"KCAE","2021-06-04","19:56","N 5","10","Partly Cloudy","FEW040 FEW045 SCT180","84","66","91","84","55%",NA,"86","29.98","1014.8",NA,NA,NA,"2021-06-07","2021-06-04 19:56:00"
"KCAE","2021-06-04","20:56","Calm","10","Mostly Cloudy","BKN110","83","66",NA,NA,"57%",NA,"85","30.01","1016",NA,NA,NA,"2021-06-07","2021-06-04 20:56:00"
"KCAE","2021-06-04","21:56","Calm","10","Fair","CLR","79","68",NA,NA,"69%",NA,"81","30.05","1017.1",NA,NA,NA,"2021-06-07","2021-06-04 21:56:00"
"KCAE","2021-06-04","22:56","E 8","10","A Few Clouds","FEW055","76","69",NA,NA,"79%",NA,"77","30.06","1017.7",NA,NA,NA,"2021-06-07","2021-06-04 22:56:00"
"KCAE","2021-06-04","23:56","SE 6","10","A Few Clouds","FEW055","74","67",NA,NA,"79%",NA,NA,"30.07","1017.8",NA,NA,NA,"2021-06-07","2021-06-04 23:56:00"
"KCAE","2021-06-05","00:56","S 5","10","Partly Cloudy","SCT180","74","67",NA,NA,"79%",NA,NA,"30.07","1017.9",NA,NA,NA,"2021-06-07","2021-06-05 00:56:00"
"KCAE","2021-06-05","01:56","Calm","10","Partly Cloudy","SCT180","73","67","84","73","81%",NA,NA,"30.05","1017.4",NA,NA,NA,"2021-06-07","2021-06-05 01:56:00"
"KCAE","2021-06-05","02:56","W 3","10","A Few Clouds","FEW180","73","68",NA,NA,"84%",NA,NA,"30.04","1017",NA,NA,NA,"2021-06-07","2021-06-05 02:56:00"
"KCAE","2021-06-05","03:56","SW 3","10","Fair","CLR","73","68",NA,NA,"84%",NA,NA,"30.03","1016.4",NA,NA,NA,"2021-06-07","2021-06-05 03:56:00"
"KCAE","2021-06-05","04:56","Calm","10","A Few Clouds","FEW110","73","68",NA,NA,"84%",NA,NA,"30.03","1016.4",NA,NA,NA,"2021-06-07","2021-06-05 04:56:00"
"KCAE","2021-06-05","05:56","Calm","10","Mostly Cloudy","BKN010 BKN110","73","68",NA,NA,"84%",NA,NA,"30.04","1016.8",NA,NA,NA,"2021-06-07","2021-06-05 05:56:00"
"KCAE","2021-06-05","06:56","S 5","10","Mostly Cloudy","FEW008 BKN060","72","68",NA,NA,"87%",NA,NA,"30.05","1017.3",NA,NA,NA,"2021-06-07","2021-06-05 06:56:00"
