"station","date","time","wind_mph","vis_mi","weather","sky_cond","air_temp_F","dewpoint_F","air_temp_max_6h_F","air_temp_min_6h_F","rel_hum_perc","wind_chill_F","heat_indx_F","pres_alt_in","pres_sea_mb","precip_1hr_in","precip_3h_in","precip_6h_in","download_date","datetime"
"KWVL","2021-06-04","16:56","SW 9",10,"A Few Clouds","FEW060",76,63,NA,NA,"64%",NA,78,29.75,1009.8,NA,NA,NA,"2021-06-07","2021-06-04 16:56"
"KWVL","2021-06-04","17:56","SW 9",10,"Fair","CLR",76,62,NA,NA,"62%",NA,78,29.75,1009.8,NA,NA,NA,"2021-06-07","2021-06-04 17:56"
"KWVL","2021-06-04","18:56","S 6",10,"Fair","CLR",75,62,NA,NA,"64%",NA,NA,29.77,1010.3,NA,NA,NA,"2021-06-07","2021-06-04 18:56"
"KWVL","2021-06-04","19:56","S 6",10,"Fair","CLR",73,63,78,73,"71%",NA,NA,29.78,1010.8,NA,NA,NA,"2021-06-07","2021-06-04 19:56"
"KWVL","2021-06-04","20:56","Calm",10,"Fair","CLR",68,64,NA,NA,"87%",NA,NA,29.79,1011.3,NA,NA,NA,"2021-06-07","2021-06-04 20:56"
"KWVL","2021-06-04","21:56","Calm",10,"Fair","CLR",67,63,NA,NA,"87%",NA,NA,29.81,1011.8,NA,NA,NA,"2021-06-07","2021-06-04 21:56"
"KWVL","2021-06-04","22:56","SW 3",10,"Fair","CLR",64,63,NA,NA,"96%",NA,NA,29.81,1011.8,NA,NA,NA,"2021-06-07","2021-06-04 22:56"
"KWVL","2021-06-04","23:56","SW 3",10,"Fair","CLR",63,62,NA,NA,"97%",NA,NA,29.79,1011.3,NA,NA,NA,"2021-06-07","2021-06-04 23:56"
"KWVL","2021-06-05","00:56","SW 3",10,"Fair","CLR",62,61,NA,NA,"96%",NA,NA,29.79,1011.2,NA,NA,NA,"2021-06-07","2021-06-05 00:56"
"KWVL","2021-06-05","01:56","SW 3",10,"Fair","CLR",61,60,73,61,"97%",NA,NA,29.79,1011.3,NA,NA,NA,"2021-06-07","2021-06-05 01:56"
"KWVL","2021-06-05","02:56","Calm",9,"Fair","CLR",60,59,NA,NA,"96%",NA,NA,29.79,1011,NA,NA,NA,"2021-06-07","2021-06-05 02:56"
"KWVL","2021-06-05","03:56","SW 3",9,"Fair","CLR",59,59,NA,NA,"100%",NA,NA,29.79,1011.4,NA,NA,NA,"2021-06-07","2021-06-05 03:56"
"KWVL","2021-06-05","04:56","SW 3",4,"Fog/Mist","BKN120",58,58,NA,NA,"100%",NA,NA,29.79,1011.1,NA,NA,NA,"2021-06-07","2021-06-05 04:56"
"KWVL","2021-06-05","05:56","SW 3",6,"Fog/Mist","CLR",59,58,NA,NA,"96%",NA,NA,29.79,1011.3,NA,NA,NA,"2021-06-07","2021-06-05 05:56"
"KWVL","2021-06-05","06:56","SW 3",10,"Fair","CLR",61,60,NA,NA,"97%",NA,NA,29.79,1011.2,NA,NA,NA,"2021-06-07","2021-06-05 06:56"
"KWVL","2021-06-05","07:56","Vrbl 3",10,"Fair","CLR",66,62,66,58,"87%",NA,NA,29.77,1010.7,NA,NA,NA,"2021-06-07","2021-06-05 07:56"
"KWVL","2021-06-05","08:56","SW 3",10,"Fair","CLR",72,64,NA,NA,"76%",NA,NA,29.77,1010.6,NA,NA,NA,"2021-06-07","2021-06-05 08:56"
"KWVL","2021-06-05","09:56","S 10 G 16",10,"Fair","CLR",77,63,NA,NA,"62%",NA,79,29.76,1010.2,NA,NA,NA,"2021-06-07","2021-06-05 09:56"
"KWVL","2021-06-05","10:56","SW 9",10,"Fair","CLR",80,63,NA,NA,"56%",NA,81,29.75,1009.8,NA,NA,NA,"2021-06-07","2021-06-05 10:56"
"KWVL","2021-06-05","11:56","SW 6",10,"Fair","CLR",81,62,NA,NA,"53%",NA,82,29.73,1009,NA,NA,NA,"2021-06-07","2021-06-05 11:56"
"KWVL","2021-06-05","12:56","SW 9",10,"Fair","CLR",84,63,NA,NA,"49%",NA,85,29.71,1008.3,NA,NA,NA,"2021-06-07","2021-06-05 12:56"
