"station","date","day","time","wind_mph","vis_mi","weather","sky_cond","air_temp_F","dewpoint_F","air_temp_max_6h_F","air_temp_min_6h_F","rel_hum_perc","wind_chill_F","heat_indx_F","pres_alt_in","pres_sea_mb","precip_1hr_in","precip_3h_in","precip_6h_in","download_date"
"KCAE","2021-06-07","07","15:56","E 12","10.00","Overcast","SCT045 BKN055 OVC085","87","72","","","61%",NA,"93","30.05","1017.3","","","","2021-06-07"
"KCAE","2021-06-07","07","14:56","SE 12","10.00","Mostly Cloudy","BKN043 BKN050 BKN200","88","71","","","57%",NA,"94","30.06","1017.7","","","","2021-06-07"
"KCAE","2021-06-07","07","13:56","SW 7","10.00","Partly Cloudy","SCT038 SCT220","89","70","90","75","53%",NA,"94","30.10","1019.0","","","","2021-06-07"
"KCAE","2021-06-07","07","12:56","Vrbl 6","10.00","Partly Cloudy","FEW034 SCT049 SCT200","81","71","","","72%",NA,"85","30.13","1020.1","","","","2021-06-07"
"KCAE","2021-06-07","07","11:56","S 9","10.00","Partly Cloudy","SCT026 SCT200","85","71","","","63%",NA,"90","30.15","1020.5","","","","2021-06-07"
"KCAE","2021-06-07","07","10:56","SE 7","10.00","Mostly Cloudy","FEW016 SCT026 BKN220","82","74","","","77%",NA,"88","30.16","1021.0","","","","2021-06-07"
"KCAE","2021-06-07","07","09:56","S 6","10.00","Overcast","BKN012 OVC020","79","74","","","85%",NA,"83","30.17","1021.3","","","","2021-06-07"
"KCAE","2021-06-07","07","08:56","Calm","6.00","Fog/Mist","BKN006 OVC011","76","74","","","94%",NA,"76","30.17","1021.4","","","","2021-06-07"
"KCAE","2021-06-07","07","07:56","SE 3","7.00","Mostly Cloudy","BKN010 BKN014 BKN150","75","73","75","73","94%",NA,NA,"30.15","1020.7","","","","2021-06-07"
"KCAE","2021-06-07","07","06:56","E 6","5.00","Fog/Mist","SCT019","74","73","","","97%",NA,NA,"30.14","1020.3","","","","2021-06-07"
"KCAE","2021-06-07","07","05:56","E 3","5.00","Fog/Mist","FEW010 SCT015 BKN024","73","72","","","96%",NA,NA,"30.13","1020.0","","","","2021-06-07"
"KCAE","2021-06-07","07","04:56","E 3","5.00","Fog/Mist","BKN003 OVC015","73","72","","","96%",NA,NA,"30.12","1019.8","","","","2021-06-07"
"KCAE","2021-06-07","07","03:56","E 3","7.00","Overcast","BKN009 OVC013","74","72","","","94%",NA,NA,"30.11","1019.4","","","","2021-06-07"
"KCAE","2021-06-07","07","02:56","E 3","8.00","Mostly Cloudy","SCT007 BKN013 BKN018","73","72","","","96%",NA,NA,"30.12","1019.6","","","","2021-06-07"
"KCAE","2021-06-07","07","01:56","Calm","7.00","Mostly Cloudy","FEW008 BKN014 BKN019","73","72","76","73","96%",NA,NA,"30.12","1019.5","","","0.03","2021-06-07"
