station,date,day,time,wind_mph,vis_mi,weather,sky_cond,air_temp_F,dewpoint_F,air_temp_max_6h_F,air_temp_min_6h_F,rel_hum_perc,wind_chill_F,heat_indx_F,pres_alt_in,pres_sea_mb,precip_1hr_in,precip_3h_in,precip_6h_in,download_date
KOQU,6/6/2021,6,17:50,SW 14,10,Partly Cloudy,SCT200,88,64,,,46%,NA,90,29.98,NA,,,,6/7/2021
KOQU,6/6/2021,6,16:50,SW 12,10,Partly Cloudy,SCT150,91,61,,,36%,NA,91,29.98,NA,,,,6/7/2021
KOQU,6/6/2021,6,15:50,S 12,10,A Few Clouds,FEW150,86,63,,,46%,NA,87,29.99,NA,,,,6/7/2021
KOQU,6/6/2021,6,14:50,SW 21,10,A Few Clouds and Breezy,FEW065,90,61,,,38%,NA,90,30,NA,,,,6/7/2021
KOQU,6/6/2021,6,13:50,SW 21,10,A Few Clouds and Breezy,FEW065,93,59,,,32%,NA,92,29.99,NA,,,,6/7/2021
KOQU,6/6/2021,6,12:50,S 12,10,Clear,SKC,91,63,,,38%,NA,91,30.01,NA,,,,6/7/2021
KOQU,6/6/2021,6,11:50,NW 17,10,Clear,SKC,91,61,,,36%,NA,91,30.02,NA,,,,6/7/2021
KOQU,6/6/2021,6,10:50,NW 17,10,Clear,SKC,90,61,,,38%,NA,90,30.02,NA,,,,6/7/2021
KOQU,6/6/2021,6,9:50,S 6,10,Clear,SKC,82,64,,,55%,NA,84,30.09,NA,,,,6/7/2021
KOQU,6/5/2021,5,16:50,W 16,10,Partly Cloudy,SCT250,84,64,,,51%,NA,85,29.82,NA,,,,6/7/2021
KOQU,6/5/2021,5,15:50,SW 23,10,A Few Clouds and Breezy,FEW250,84,63,,,48%,NA,85,29.82,NA,,,,6/7/2021
KOQU,6/5/2021,5,14:50,SW 17,10,A Few Clouds,FEW250,82,63,,,51%,NA,83,29.83,NA,,,,6/7/2021
KOQU,6/5/2021,5,13:50,SW 17,10,A Few Clouds,FEW250,86,63,,,46%,NA,87,29.85,NA,,,,6/7/2021
KOQU,6/5/2021,5,12:50,SW 15,10,A Few Clouds,FEW250,82,64,,,55%,NA,84,29.87,NA,,,,6/7/2021
KOQU,6/5/2021,5,11:50,SW 12,10,A Few Clouds,FEW250,79,63,,,58%,NA,81,29.88,NA,,,,6/7/2021
KOQU,6/5/2021,5,10:50,S 12,10,A Few Clouds,FEW250,79,66,,,65%,NA,81,29.89,NA,,,,6/7/2021
KOQU,6/5/2021,5,9:50,S 12,10,A Few Clouds,FEW250,72,64,,,78%,NA,NA,29.91,NA,,,,6/7/2021
KOQU,6/5/2021,5,8:50,S 7,10,Partly Cloudy,SCT250,68,64,,,88%,NA,NA,29.91,NA,,,,6/7/2021
KOQU,6/4/2021,4,22:50,S 7,4,Fog/Mist,BKN003 OVC005,61,61,,,100%,NA,NA,29.9,NA,,,,6/7/2021
KOQU,6/4/2021,4,21:50,S 7,4,Fog/Mist,BKN030 BKN050,61,61,,,100%,NA,NA,29.9,NA,,,,6/7/2021
KOQU,6/4/2021,4,20:50,SW 7,10,Mostly Cloudy,FEW008 BKN110 BKN250,63,61,,,94%,NA,NA,29.87,NA,,,,6/7/2021
KOQU,6/4/2021,4,19:50,SW 14,10,Mostly Cloudy,SCT080 BKN150,63,61,,,94%,NA,NA,29.87,NA,,,,6/7/2021
KOQU,6/4/2021,4,17:50,SE 12,8,Thunderstorm Light Rain,SCT035CB BKN060 BKN120,63,61,,,94%,NA,NA,29.87,NA,,,,6/7/2021
KOQU,6/4/2021,4,16:50,SW 9,7,Thunderstorm in Vicinity,SCT040 SCT080 BKN150,66,63,,,88%,NA,NA,29.86,NA,,,,6/7/2021
KOQU,6/4/2021,4,15:50,S 16,5,Fog/Mist,SCT023 BKN140 OVC200,66,63,,,88%,NA,NA,29.86,NA,,,,6/7/2021
KOQU,6/4/2021,4,14:50,S 14,5,Fog/Mist,FEW020 SCT150 OVC200,68,64,,,88%,NA,NA,29.87,NA,,,,6/7/2021
KOQU,6/4/2021,4,13:50,S 13,6,Fog/Mist,BKN015,72,64,,,78%,NA,NA,29.88,NA,,,,6/7/2021
KOQU,6/4/2021,4,12:50,SW 9,5,Fog/Mist,BKN006 OVC010,72,66,,,83%,NA,NA,29.89,NA,,,,6/7/2021
KOQU,6/4/2021,4,11:50,W 9,4,Fog/Mist,BKN006 OVC010,70,64,,,83%,NA,NA,29.92,NA,,,,6/7/2021
KOQU,6/4/2021,4,10:50,SW 12,4,Fog/Mist,OVC005,66,64,,,94%,NA,NA,29.93,NA,,,,6/7/2021
KOQU,6/4/2021,4,9:50,SW 10,3,Fog/Mist,OVC004,66,64,,,94%,NA,NA,29.92,NA,,,,6/7/2021
KOQU,6/4/2021,4,8:50,SW 10,2.5,Fog/Mist,OVC004,66,64,,,94%,NA,NA,29.93,NA,,,,6/7/2021
KOQU,6/4/2021,4,7:50,SW 9,2,Fog/Mist,OVC003,64,64,,,100%,NA,NA,29.92,NA,,,,6/7/2021
KOQU,6/3/2021,3,22:50,SW 17,1.5,Fog/Mist,OVC003,63,63,,,100%,NA,NA,29.96,NA,,,,6/7/2021
KOQU,6/3/2021,3,21:50,SW 16,2,Fog/Mist,OVC005,64,63,,,94%,NA,NA,29.98,NA,,,,6/7/2021
KOQU,6/3/2021,3,20:50,SW 12,4,Fog/Mist,OVC005,64,63,,,94%,NA,NA,29.97,NA,,,,6/7/2021
KOQU,6/3/2021,3,19:50,SW 16,2.5,Fog/Mist,OVC006,64,63,,,94%,NA,NA,29.98,NA,,,,6/7/2021
KOQU,6/3/2021,3,18:50,SW 12,5,Fog/Mist,OVC006,64,63,,,94%,NA,NA,29.97,NA,,,,6/7/2021
KOQU,6/8/2021,8,11:50,S 14,10,Partly Cloudy,SCT250,81,68,,,66%,NA,84,30.03,NA,,,,6/8/2021
KOQU,6/8/2021,8,10:50,SW 14,8,Partly Cloudy,SCT250,79,68,,,70%,NA,81,30.04,NA,,,,6/8/2021
KOQU,6/8/2021,8,9:50,S 12,8,Partly Cloudy,SCT250,77,68,,,74%,NA,79,30.04,NA,,,,6/8/2021
KOQU,6/8/2021,8,8:50,S 12,8,Partly Cloudy,SCT250,73,66,,,78%,NA,NA,30.05,NA,,,,6/8/2021
KOQU,6/6/2021,6,17:50,SW 14,10,Partly Cloudy,SCT200,88,64,,,46%,NA,90,29.98,NA,,,,6/8/2021
KOQU,6/6/2021,6,16:50,SW 12,10,Partly Cloudy,SCT150,91,61,,,36%,NA,91,29.98,NA,,,,6/8/2021
KOQU,6/6/2021,6,15:50,S 12,10,A Few Clouds,FEW150,86,63,,,46%,NA,87,29.99,NA,,,,6/8/2021
KOQU,6/6/2021,6,14:50,SW 21,10,A Few Clouds and Breezy,FEW065,90,61,,,38%,NA,90,30,NA,,,,6/8/2021
KOQU,6/6/2021,6,13:50,SW 21,10,A Few Clouds and Breezy,FEW065,93,59,,,32%,NA,92,29.99,NA,,,,6/8/2021
